INFO:2025-04-30 09:51:50,731: Epoch [2/50], Step [1000/2998], Loss: 0.34855, Disc Loss: 3.82540, Dur Loss: 0.74080, CE Loss: 0.03438, Norm Loss: 0.52713, F0 Loss: 1.19161, LM Loss: 1.84809, Gen Loss: 6.55653, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.89428, Mono Loss: 0.05711
INFO:2025-04-30 09:54:59,670: Epoch [2/50], Step [1100/2998], Loss: 0.33956, Disc Loss: 3.86121, Dur Loss: 0.80252, CE Loss: 0.03884, Norm Loss: 0.66216, F0 Loss: 1.55144, LM Loss: 1.87017, Gen Loss: 6.71711, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.89465, Mono Loss: 0.03948
INFO:2025-04-30 09:58:10,699: Epoch [2/50], Step [1200/2998], Loss: 0.35196, Disc Loss: 3.90746, Dur Loss: 0.99573, CE Loss: 0.04925, Norm Loss: 0.86794, F0 Loss: 1.92336, LM Loss: 1.93041, Gen Loss: 7.08989, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.84470, Mono Loss: 0.04291
INFO:2025-04-30 10:01:22,331: Epoch [2/50], Step [1300/2998], Loss: 0.34883, Disc Loss: 3.91098, Dur Loss: 0.79088, CE Loss: 0.03409, Norm Loss: 0.82829, F0 Loss: 1.61775, LM Loss: 1.37208, Gen Loss: 6.53472, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.87497, Mono Loss: 0.04484
INFO:2025-04-30 10:04:33,462: Epoch [2/50], Step [1400/2998], Loss: 0.34928, Disc Loss: 3.74778, Dur Loss: 0.78580, CE Loss: 0.03909, Norm Loss: 0.80700, F0 Loss: 1.80692, LM Loss: 1.85292, Gen Loss: 6.93846, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.80648, Mono Loss: 0.03770
INFO:2025-04-30 10:07:44,110: Epoch [2/50], Step [1500/2998], Loss: 0.35713, Disc Loss: 3.75295, Dur Loss: 0.80810, CE Loss: 0.03942, Norm Loss: 0.70843, F0 Loss: 1.70964, LM Loss: 1.31921, Gen Loss: 6.75823, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.91932, Mono Loss: 0.03668
INFO:2025-04-30 10:10:54,969: Epoch [2/50], Step [1600/2998], Loss: 0.33966, Disc Loss: 3.76888, Dur Loss: 0.81105, CE Loss: 0.04156, Norm Loss: 0.76318, F0 Loss: 1.62025, LM Loss: 1.87418, Gen Loss: 6.76561, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.90936, Mono Loss: 0.04258
INFO:2025-04-30 10:14:06,886: Epoch [2/50], Step [1700/2998], Loss: 0.36085, Disc Loss: 3.83776, Dur Loss: 0.84023, CE Loss: 0.04089, Norm Loss: 0.76683, F0 Loss: 1.78120, LM Loss: 1.90719, Gen Loss: 7.08417, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.84245, Mono Loss: 0.03713
INFO:2025-04-30 10:17:18,663: Epoch [2/50], Step [1800/2998], Loss: 0.35061, Disc Loss: 3.79113, Dur Loss: 0.80386, CE Loss: 0.03801, Norm Loss: 0.78909, F0 Loss: 1.20564, LM Loss: 1.40632, Gen Loss: 6.54955, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.93037, Mono Loss: 0.05157
INFO:2025-04-30 10:20:28,736: Epoch [2/50], Step [1900/2998], Loss: 0.34558, Disc Loss: 3.97614, Dur Loss: 0.76992, CE Loss: 0.04030, Norm Loss: 0.55235, F0 Loss: 1.70609, LM Loss: 1.31302, Gen Loss: 7.10667, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.70700, Mono Loss: 0.04013
